onset,duration,event_id
36.27734375,5,2
52.79296875,5,1
70.193359375,5,1
86.576171875,5,1
104.828125,5,2
121.99609375,5,2
139.580078125,5,1
156.6640625,5,2
174.482421875,5,1
190.982421875,5,1
208.21484375,5,1
225.81640625,5,2
243.568359375,5,1
261.453125,5,2
279.25390625,5,2
297.123046875,5,2
314.671875,5,2
332.390625,5,1
349.69140625,5,2
367.259765625,5,1
377.26171875,5,1
395.4296875,5,2
413.23046875,5,2
430.615234375,5,1
447.900390625,5,2
464.265625,5,2
482.400390625,5,1
499.869140625,5,2
516.986328125,5,2
534.76953125,5,2
553.0390625,5,2
570.689453125,5,1
587.072265625,5,1
604.2734375,5,1
621.07421875,5,1
638.140625,5,1
655.44140625,5,2
672.92578125,5,2
690.67578125,5,1
708.4609375,5,1
